,r,p-val
LH_SomMot_22,0.14697405420999582,0.5735008067810521
LH_SomMot_23,0.6717724881447448,0.0031431823786971084
LH_SomMot_24,0.42130314346961295,0.092138990407
LH_SomMot_25,0.49115650059697585,0.045272824662419484
LH_SomMot_26,0.22141731025647676,0.3930694370778227
LH_SomMot_27,-0.3095929468089361,0.22656882860220526
LH_SomMot_28,0.36916434395923964,0.14476753501576714
LH_SomMot_29,-0.1032407403218281,0.6933554454129676
LH_SomMot_30,0.11931338287832054,0.6483138429475985
LH_SomMot_31,0.12872107639459593,0.6224636437818802
LH_SomMot_32,0.04943337128569002,0.8505565834351446
LH_SomMot_33,0.2603008441891653,0.3129591432728162
LH_SomMot_34,0.26191610478439525,0.30985700897109625
LH_SomMot_35,0.17567958058016953,0.500026641045543
LH_SomMot_36,0.24628326090482167,0.34064345101329274
LH_SomMot_37,0.19304763014867746,0.45787256926188546
LH_SomMot_38,0.4334695741411071,0.08217119553481962
LH_SomMot_39,0.25271098520415475,0.3277794291497431
LH_SomMot_40,0.4319609314069484,0.08336267521902381
LH_SomMot_41,0.14835075734107836,0.5698753691438477
LH_SomMot_42,0.2508398417423545,0.33149468899397583
LH_SomMot_43,0.30347574702997215,0.23635819151923929
LH_SomMot_44,0.5209801817851336,0.03200126711382215
LH_SomMot_45,-0.45499572029139457,0.06648936892625908
LH_SomMot_46,0.2656983734058983,0.3026645897909699
LH_SomMot_47,0.24496253215080147,0.3433220291202371
LH_SomMot_48,0.1544906134155195,0.5538271707485947
LH_SomMot_49,0.16665704408701384,0.5226275050470879
LH_SomMot_50,0.5064921471888134,0.03801236388371898
LH_SomMot_51,0.15421074153020764,0.554554355027097
LH_SomMot_52,0.27562716171815876,0.2842620718341048
LH_SomMot_53,0.10939658907543008,0.6759797630825909
LH_SomMot_54,-0.031381634683062494,0.9048295357861709
LH_SomMot_55,0.21251871702681652,0.4128367003044632
LH_SomMot_56,0.18290693883753772,0.4822647943967483
LH_SomMot_57,0.4369679727075081,0.07945590078664308
LH_SomMot_58,0.3166670418910138,0.2155759607049957
LH_SomMot_59,0.22036712432492478,0.39537515142497826
LH_SomMot_60,-0.028321702070317176,0.914075363143167
LH_SomMot_61,0.25391709975752413,0.3253975071641416
LH_SomMot_62,-0.028521610559825487,0.9134709933267287
LH_SomMot_63,0.01940445071496942,0.9410749573143485
LH_SomMot_64,0.2825426627318941,0.27185502964667296
LH_SomMot_65,-0.13603506166408472,0.602648858078586
LH_SomMot_66,0.20470229508702964,0.43062569758592883
LH_SomMot_67,0.25967979514842526,0.3141567345387525
LH_SomMot_68,-0.09396631913189209,0.7198063697137498
LH_SomMot_69,0.14492965672395433,0.5789025517212518
LH_SomMot_70,0.13426920334009187,0.6074095235972433
LH_SomMot_71,0.08212507293666503,0.7540162214075308
LH_SomMot_72,0.27392394138754594,0.2873695894145947
LH_SomMot_73,0.1720145916058446,0.5091507631390649
LH_SomMot_74,0.3847731988200722,0.1272489459672535
LH_SomMot_75,-0.3271808957159034,0.1998841067311261
LH_SomMot_76,0.11747822294463174,0.6534021777461589
LH_SomMot_77,0.13519011511509518,0.604924914317673
LH_SomMot_78,-0.3109816444493893,0.22438314909656393
LH_SomMot_79,0.07118741311401733,0.786006192537552
LH_SomMot_80,0.21047698498730183,0.41744527860214586
LH_SomMot_81,0.19210272935493403,0.4601188290042103
LH_SomMot_82,0.06109469984035936,0.8158161593359642
LH_SomMot_83,0.30389955302773086,0.2356714795636968
LH_SomMot_84,0.25317877106960535,0.326854411865805
LH_SomMot_85,0.05754699051321324,0.8263538806355022
LH_SomMot_86,0.41915879173881665,0.09398205918434777
LH_SomMot_87,0.14028778159756425,0.5912461028655265
LH_SomMot_88,0.15142801535624809,0.5618072971206463
LH_SomMot_89,0.016424481498027804,0.9501126252592629
LH_SomMot_90,0.29941360652315735,0.24300450031154758
LH_SomMot_91,0.13003913970208966,0.6188741319044243
LH_DorsAttn_Post_1,0.4723211227154739,0.05556629515415285
LH_DorsAttn_Post_2,0.17213187125302337,0.5088575868803529
LH_DorsAttn_Post_3,0.2303718778631994,0.37370810296440404
LH_DorsAttn_Post_4,0.30352639051398084,0.23627606501126838
LH_DorsAttn_Post_5,0.5598757102271936,0.019429575430300203
LH_DorsAttn_Post_6,0.2052020663108018,0.4294765285770389
LH_DorsAttn_Post_7,0.48185542494177225,0.05015837646379945
LH_DorsAttn_Post_8,0.38460261024235837,0.1274320131589677
LH_DorsAttn_Post_9,0.2058497698168096,0.4279895838164144
LH_DorsAttn_Post_10,0.0858047218668871,0.7433359107191628
LH_DorsAttn_Post_11,0.42568913572943134,0.08845041451355239
LH_DorsAttn_Post_12,-0.05812139423973381,0.8246457854641096
LH_DorsAttn_Post_13,0.6890339198521818,0.0022184017460629194
LH_DorsAttn_Post_14,0.5283901231295869,0.029223637798974432
LH_DorsAttn_Post_15,0.4650817699487354,0.05995417437053179
LH_DorsAttn_Post_16,0.5064188474093263,0.038044812226532
LH_DorsAttn_Post_17,0.257482134487094,0.31841619852585373
LH_DorsAttn_Post_18,0.29879255748241756,0.24403089441528616
LH_DorsAttn_Post_19,-0.26057271973489715,0.3124357244434949
LH_DorsAttn_Post_20,-0.0870828034764785,0.7396364577440655
LH_DorsAttn_Post_21,0.15651102188282023,0.548590045797368
LH_DorsAttn_Post_22,-0.09729013095078859,0.7102903960949345
LH_DorsAttn_Post_23,-0.21510553288105844,0.40703676296456326
LH_DorsAttn_Post_24,-0.15731598673390784,0.5465096103738438
LH_DorsAttn_Post_25,0.09586811522875047,0.7143567237787455
LH_DorsAttn_Post_26,0.2908615213419792,0.25737783260810293
LH_DorsAttn_Post_27,0.2683265036813046,0.29772599900333563
LH_DorsAttn_Post_28,-0.5360985944850386,0.026534938376592637
LH_DorsAttn_Post_29,0.27317894908331025,0.28873525188661625
LH_DorsAttn_Post_30,0.06819278394117803,0.7948237916931976
LH_DorsAttn_Post_31,0.6340737451932097,0.00626673771301017
